Item ID,Item Name,Purchase Count,Item Price,Total Purchase Value
127,"Heartseeker, Reaver of Souls",2,$3.92,$7.84
30,Stormcaller,3,$2.21,$7.78
97,"Swan Song, Gouger Of Terror",3,$2.50,$7.50
6,Rusty Skull,2,$3.70,$7.40
81,Dreamkiss,2,$3.61,$7.22
131,Fury,5,$1.44,$7.20
10,Sleepwalker,4,$1.79,$7.16
43,Foul Edge,2,$3.54,$7.08
152,Darkheart,4,$1.74,$6.96
99,"Expiration, Warscythe Of Lost Worlds",4,$1.71,$6.84
86,Stormfury Lantern,3,$2.27,$6.81
55,Vindictive Glass Edge,3,$2.27,$6.81
17,"Lazarus, Terror of the Earth",4,$1.70,$6.80
46,Hopeless Ebon Dualblade,5,$1.33,$6.65
121,Massacre,4,$1.60,$6.40
130,Alpha,3,$2.07,$6.21
12,Dawne,6,$1.02,$6.12
56,Foul Titanium Battle Axe,2,$2.92,$5.84
32,Orenmir,5,$1.14,$5.70
176,Relentless Iron Skewer,2,$2.84,$5.68
13,Serenity,4,$1.41,$5.64
62,Piece Maker,3,$1.87,$5.61
21,Souleater,5,$1.10,$5.50
171,Scalpel,3,$1.79,$5.37
14,Possessed Core,2,$2.61,$5.22
124,Venom Claymore,4,$1.29,$5.16
0,Splinter,4,$1.28,$5.12
155,War-Forged Gold Deflector,5,$1.01,$5.05
48,"Rage, Legacy of the Lone Victor",2,$2.48,$4.96
158,"Darkheart, Butcher of the Champion",2,$2.45,$4.90
51,Endbringer,1,$4.66,$4.66
134,Undead Crusader,1,$4.50,$4.50
135,Warped Diamond Crusader,3,$1.40,$4.20
91,Celeste,1,$4.17,$4.17
177,"Winterthorn, Defender of Shifting Worlds",2,$2.08,$4.16
70,Hope's End,4,$1.03,$4.12
115,Spectral Diamond Doomblade,2,$2.04,$4.08
69,"Frenzy, Defender of the Harvest",2,$1.98,$3.96
47,"Alpha, Reach of Ending Hope",1,$3.58,$3.58
27,"Riddle, Tribute of Ended Dreams",1,$3.30,$3.30
183,Dragon's Greatsword,3,$1.09,$3.27
31,Trickster,2,$1.55,$3.10
168,"Sun Strike, Jaws of Twisted Visions",2,$1.48,$2.96
90,Betrayer,1,$2.94,$2.94
33,Curved Axe,2,$1.16,$2.32
26,Unholy Wand,2,$1.12,$2.24
118,"Ghost Reaver, Longsword of Magic",1,$2.17,$2.17
28,"Flux, Destroyer of Due Diligence",2,$1.06,$2.12
125,Whistling Mithril Warblade,2,$1.00,$2.00
126,Exiled Mithril Longsword,1,$2.00,$2.00
104,Gladiator's Glaive,1,$1.93,$1.93
42,The Decapitator,1,$1.75,$1.75
